턴,AI 답변,사용자 메세지,Target
1,,박물관 오디오 가이드 앱 리디자인안을 사용자 테스트해보려고 해. 사용성 평가 계획을 어떻게 잡으면 좋을까?,
2,"수업 프로젝트 수준이라면 **“리디자인이 기존 문제를 줄였는지 확인하는 형성평가”**로 잡는 게 적절해요. 너무 큰 효과 검증보다, 사용자가 실제 관람 맥락에서 막히는 지점을 찾는 데 초점을 두면 됩니다.

## 1. 평가 목적

핵심 목적은 다음처럼 잡을 수 있어요.

> 리디자인된 박물관 오디오 가이드 앱이 사용자가 전시 정보를 찾고, 오디오를 재생하고, 관람 흐름에 맞게 콘텐츠를 따라가는 데 도움이 되는지 평가한다.

즉, “좋아졌는가?”보다 **어디서 여전히 불편한가**를 보는 평가입니다.

## 2. 참가자

5~8명 정도면 무난합니다.

구성은 가능하면 이렇게 나누면 좋아요.

| 유형                       | 이유              |
| ------------------------ | --------------- |
| 박물관 방문 경험이 있는 대학생/일반 사용자 | 실제 사용 맥락에 가까움   |
| 오디오 가이드 앱 사용 경험자 2~3명    | 기존 방식과 비교 의견 가능 |
| 사용 경험이 거의 없는 사람 2~3명     | 첫 사용 난이도 확인 가능  |

편의표집이어도 괜찮지만, 보고서에는 **“탐색적 사용성 평가이므로 일반화에는 한계가 있다”**고 쓰면 됩니다.

## 3. 테스트 과업

과업은 앱의 핵심 기능 중심으로 4~5개만 잡는 게 좋아요.

| 과업                     | 확인하려는 것        |
| ---------------------- | -------------- |
| 전시관/작품 목록에서 특정 작품 찾기   | 정보 탐색 구조가 명확한가 |
| 해당 작품의 오디오 설명 재생하기     | 주요 기능 접근성이 좋은가 |
| 오디오를 일시정지하고 다시 듣기      | 재생 컨트롤이 직관적인가  |
| 관심 작품을 저장하거나 북마크하기     | 부가 기능 이해가 쉬운가  |
| 관람 동선에 맞춰 다음 작품으로 이동하기 | 실제 관람 흐름과 맞는가  |

과업 예시는 이렇게 쓰면 됩니다.

> “당신은 전시장에 들어와 특정 작품 앞에 서 있습니다. 앱에서 이 작품의 오디오 설명을 찾아 재생해보세요.”

## 4. 측정 지표

정량 지표는 간단히, 정성 관찰을 중심으로 잡는 게 좋습니다.

| 구분       | 지표                  |
| -------- | ------------------- |
| 수행 성공 여부 | 완료 / 부분 완료 / 실패     |
| 수행 시간    | 과업별 소요 시간           |
| 오류 수     | 잘못 누른 버튼, 잘못된 경로 진입 |
| 도움 요청 횟수 | 진행 중 힌트가 필요했는지      |
| 주관 평가    | 난이도, 만족도, 이해도       |
| 관찰 메모    | 망설임, 혼란, 긍정 반응      |

설문은 과업 후에 5점 척도로 간단히 물어보면 충분합니다.

예:

* 이 기능을 찾기 쉬웠다.
* 오디오 재생 방법이 명확했다.
* 관람 중 사용하기 부담스럽지 않았다.
* 전시 감상 흐름을 방해하지 않았다.
* 전체적으로 앱을 다시 사용하고 싶다.

## 5. 진행 절차

전체 30~40분 정도로 잡으면 무난합니다.

| 단계         | 내용                       | 시간     |
| ---------- | ------------------------ | ------ |
| 사전 질문      | 박물관 방문 경험, 오디오 가이드 사용 경험 | 5분     |
| 사용성 테스트 안내 | 생각 말하기 방식 안내             | 3분     |
| 과업 수행      | 핵심 과업 4~5개 수행            | 15~20분 |
| 사후 설문      | 사용 편의성, 만족도, 부담감 평가      | 5분     |
| 짧은 인터뷰     | 헷갈린 점, 좋았던 점, 개선점 질문     | 5~10분  |

## 6. 관찰 포인트

특히 박물관 오디오 가이드 앱은 일반 앱과 다르게 **관람 흐름을 방해하지 않는지**가 중요합니다.

중점적으로 볼 것은 세 가지입니다.

1. 사용자가 작품 앞에서 빠르게 원하는 오디오를 찾는가
2. 화면을 오래 보느라 전시 감상이 끊기지 않는가
3. 이어듣기, 다음 작품 이동, 재생 조작이 자연스러운가

## 7. 결과 분석 방식

복잡한 통계보다 아래처럼 정리하면 됩니다.

| 과업     | 성공률 | 평균 시간 | 주요 문제          |
| ------ | --: | ----: | -------------- |
| 작품 찾기  | 6/8 |   45초 | 검색 아이콘을 못 알아봄  |
| 오디오 재생 | 8/8 |   20초 | 큰 문제 없음        |
| 북마크    | 4/8 |   60초 | 저장 버튼 의미가 불명확함 |

그리고 정성 결과는 문제 유형별로 묶으면 좋아요.

* 정보 구조 문제
* 버튼/아이콘 의미 문제
* 관람 맥락과 맞지 않는 흐름
* 오디오 제어 관련 문제

## 8. 보고서용 문단 예시

> 본 연구는 박물관 오디오 가이드 앱 리디자인안의 사용성을 탐색적으로 평가하기 위해 소규모 사용성 테스트를 실시한다. 참가자는 박물관 방문 경험이 있는 대학생 및 일반 사용자 5~8명으로 구성하며, 특정 작품 찾기, 오디오 설명 재생, 재생 제어, 관심 작품 저장, 다음 작품 이동 등의 핵심 과업을 수행한다. 평가 지표는 과업 성공 여부, 수행 시간, 오류 수, 도움 요청 횟수와 함께 사용자의 주관적 난이도 및 만족도를 포함한다. 테스트 후에는 짧은 인터뷰를 통해 관람 흐름에서 앱이 방해가 되었는지, 정보 탐색과 오디오 청취 과정에서 어떤 불편이 있었는지 확인한다. 본 평가는 통계적 일반화보다 리디자인안의 문제점을 발견하고 개선 방향을 도출하는 형성평가에 초점을 둔다.",,
3,,참가자는 어떤 기준으로 모집하는 게 좋을까? 박물관을 자주 가는 사람만 보면 편향될까?,
4,"네, **박물관을 자주 가는 사람만 보면 편향될 수 있어요.** 오디오 가이드 앱은 초심자도 많이 쓰기 때문에, 자주 가는 사람만 보면 앱의 진입 장벽이나 설명 부족 문제가 덜 드러날 수 있습니다.

참가자 기준은 **방문 빈도 + 오디오 가이드 경험**을 섞는 게 좋습니다.

| 기준             | 포함하면 좋은 이유                  |
| -------------- | --------------------------- |
| 박물관 자주 방문자     | 실제 관람 흐름에 익숙해서 깊이 있는 피드백 가능 |
| 가끔 방문자         | 가장 일반적인 사용자에 가까움            |
| 거의 안 가는 사람     | 첫 사용 난이도, 안내 부족 문제 확인 가능    |
| 오디오 가이드 사용 경험자 | 기존 서비스와 비교 가능               |
| 오디오 가이드 미사용자   | 기능 발견 가능성과 직관성 확인 가능        |

수업 프로젝트라면 6~8명 기준으로 이렇게 나누면 무난합니다.

| 참가자 유형                        |   인원 |
| ----------------------------- | ---: |
| 박물관 자주 방문 + 오디오 가이드 경험 있음     |   2명 |
| 박물관 가끔 방문 + 오디오 가이드 경험 있음/없음  | 3~4명 |
| 박물관 거의 방문 안 함 + 오디오 가이드 경험 없음 | 1~2명 |

가장 중요한 모집 기준은 **“실제 타깃 사용자를 대표할 수 있는 다양성”**이에요. 그래서 “박물관 애호가만”보다는 **관람 경험 수준이 다른 사람들을 섞는 목적표집**이 더 적절합니다.

보고서에는 이렇게 쓰면 됩니다.

> 참가자는 박물관 방문 빈도와 오디오 가이드 사용 경험이 다른 사용자들로 구성하였다. 이는 박물관 관람에 익숙한 사용자뿐 아니라, 오디오 가이드 앱을 처음 접하는 사용자의 진입 장벽과 사용상의 혼란도 함께 파악하기 위함이다. 따라서 본 표집은 통계적 대표성보다는 리디자인안의 사용성 문제를 폭넓게 발견하기 위한 목적표집에 가깝다.
",,
5,,그럼 테스트에서 사용자가 어떤 과제를 수행하게 하면 오디오 가이드의 문제를 잘 볼 수 있을까?,
6,"오디오 가이드 앱의 문제를 보려면 **“앱 기능”보다 “관람 흐름”을 기준으로 과제를 잡는 게 좋아요.** 사용자가 전시장에 들어가서 작품을 찾고, 듣고, 이동하는 흐름을 따라가야 실제 문제가 잘 드러납니다.

| 과제              | 시나리오                                        | 볼 수 있는 문제                     |
| --------------- | ------------------------------------------- | ----------------------------- |
| 1. 특정 작품 오디오 찾기 | “작품 앞에 도착했습니다. 이 작품의 오디오 설명을 찾아 재생하세요.”     | 작품 검색, 번호 입력, QR/목록 탐색이 직관적인지 |
| 2. 오디오 재생·일시정지  | “설명을 듣다가 잠시 멈춘 뒤 다시 이어 들으세요.”               | 재생 버튼, 일시정지, 이어듣기 조작이 쉬운지     |
| 3. 원하는 구간 다시 듣기 | “방금 들은 설명 중 작가 소개 부분을 다시 들어보세요.”            | 되감기, 구간 이동, 타임라인 이해 가능성       |
| 4. 다음 작품으로 이동   | “현재 작품 설명을 들은 뒤, 추천되는 다음 작품으로 이동하세요.”       | 관람 동선 안내, 다음 콘텐츠 연결이 자연스러운지   |
| 5. 전시 전체 흐름 파악  | “이 전시에서 어떤 순서로 들으면 좋을지 확인하세요.”              | 전시 구조, 코스/목차 이해 가능성           |
| 6. 관심 작품 저장     | “나중에 다시 보고 싶은 작품을 저장하세요.”                   | 북마크/저장 기능의 발견 가능성             |
| 7. 소리 조절·자막 확인  | “소리가 잘 안 들린다고 가정하고, 볼륨 조절이나 텍스트 설명을 확인하세요.” | 접근성, 대체 정보 제공, 관람 환경 대응       |
| 8. 중간 이탈 후 복귀   | “다른 작품을 보다가 다시 이전 오디오로 돌아오세요.”              | 최근 재생, 히스토리, 이어듣기 지원 여부       |

가장 핵심은 이 4개입니다.

1. **작품 찾기**
2. **오디오 재생**
3. **다시 듣기/이어듣기**
4. **다음 작품으로 이동**

과제 문장은 기능명을 직접 말하지 않는 게 좋아요.
예를 들어 “검색 버튼을 눌러 작품을 찾으세요”보다 **“이 작품의 설명을 들어보세요”**가 낫습니다. 그래야 사용자가 자연스럽게 어떤 경로를 선택하는지 볼 수 있습니다.
",,
7,,사용자가 길을 잃거나 설명을 놓치는 문제는 관찰 기록에서 어떻게 적으면 좋을까?,
8,"관찰 기록은 **해석보다 행동 중심**으로 적는 게 좋아요.
“사용자가 헷갈렸다”보다 **무엇을 했고, 어디서 멈췄고, 어떤 말을 했는지**를 남겨야 나중에 분석하기 쉽습니다.

## 기록 기준

| 문제 유형     | 관찰 기록 예시                                                | 해석 코드       |
| --------- | ------------------------------------------------------- | ----------- |
| 길을 잃음     | “다음 작품 버튼을 누른 뒤 지도 화면에서 20초간 멈춤. 현재 위치 표시를 찾지 못함.”      | 동선 안내 혼란    |
| 위치 이해 실패  | “작품 번호 12번을 찾으려 했으나 목록에서 21번 작품을 선택함.”                  | 작품 식별 오류    |
| 설명을 놓침    | “오디오 재생 중 화면을 이동하다가 설명이 계속 재생되는지 확인하지 못함. 다시 처음부터 재생함.” | 청취 흐름 단절    |
| 이어듣기 실패   | “일시정지 후 다른 화면으로 이동. 이전 오디오로 돌아오는 경로를 찾지 못함.”            | 재생 상태 인지 부족 |
| 과도한 화면 확인 | “오디오를 들으면서 10초 이내에 화면을 4회 확인함.”                         | 관람 몰입 방해    |
| 도움 요청     | “참가자가 ‘다음 작품은 어디로 가야 해요?’라고 질문함.”                       | 안내 부족       |

## 관찰 메모 형식

이렇게 항목을 고정하면 좋아요.

| 항목     | 기록 내용                         |
| ------ | ----------------------------- |
| 과제     | 다음 작품으로 이동하기                  |
| 발생 시점  | 오디오 종료 직후                     |
| 사용자 행동 | 지도 화면 진입 후 뒤로가기 2회, 목록 화면 재진입 |
| 발화     | “어디로 가라는 건지 모르겠어요.”           |
| 결과     | 진행자 힌트 후 완료                   |
| 문제 코드  | 동선 안내 혼란                      |
| 심각도    | 중간                            |

## 심각도 기준

간단히 3단계면 충분합니다.

| 수준 | 기준                     |
| -- | ---------------------- |
| 낮음 | 잠깐 망설였지만 스스로 해결        |
| 중간 | 시간이 오래 걸리거나 잘못된 경로로 감  |
| 높음 | 과제 실패, 도움 요청, 관람 흐름 중단 |

보고서에는 이런 식으로 정리하면 됩니다.

> 관찰 기록은 사용자의 주관적 인상보다 실제 행동을 중심으로 작성하였다. 특히 동선 안내 혼란, 작품 식별 오류, 청취 흐름 단절, 이어듣기 실패와 같은 반복 문제를 코드화하여 분석하였다. 각 문제는 발생 시점, 사용자 행동, 발화, 과제 결과, 심각도를 함께 기록해 리디자인 개선 우선순위를 도출하였다.
",,
9,,"만약 두 명이 관찰한다면, 기록이 서로 다르게 나오는 걸 줄이려면 어떻게 해야 할까?",
10,"두 명이 관찰한다면 핵심은 **기록 기준을 미리 맞추는 것**이에요. 같은 행동을 한 사람은 “길을 잃음”, 다른 사람은 “메뉴 탐색 오류”로 쓰면 나중에 분석이 흔들립니다.

## 1. 관찰 코드북을 먼저 만들기

테스트 전에 문제 유형을 짧게 정의해두세요.

| 코드       | 정의                     | 예시                     |
| -------- | ---------------------- | ---------------------- |
| 동선 안내 혼란 | 다음 작품이나 현재 위치를 이해하지 못함 | 지도에서 20초 이상 멈춤         |
| 작품 식별 오류 | 다른 작품 번호/제목을 선택함       | 12번 대신 21번 선택          |
| 청취 흐름 단절 | 설명을 놓치거나 다시 들어야 함      | 설명 중 화면 전환 후 재생 상태를 놓침 |
| 재생 조작 오류 | 재생, 일시정지, 되감기 조작 실패    | 일시정지 버튼을 찾지 못함         |
| 기능 발견 실패 | 필요한 기능을 찾지 못함          | 북마크 위치를 못 찾음           |
| 도움 요청    | 진행자에게 직접 질문함           | “어디 눌러야 해요?”           |

## 2. 기록 단위를 통일하기

관찰자는 같은 형식으로 적어야 합니다.

> 과제 / 발생 시점 / 사용자 행동 / 사용자 발화 / 결과 / 문제 코드 / 심각도

예를 들어:

> 과제: 다음 작품 이동
> 행동: 지도 화면에서 25초 멈춘 뒤 뒤로가기 2회
> 발화: “다음이 어디예요?”
> 결과: 힌트 후 완료
> 코드: 동선 안내 혼란
> 심각도: 중간

## 3. 사전 파일럿으로 기준 맞추기

본 테스트 전에 1명만 파일럿으로 해보고, 두 관찰자가 따로 기록한 뒤 비교하세요.

확인할 것은 세 가지입니다.

1. 같은 문제를 같은 코드로 분류했는가
2. 심각도를 비슷하게 판단했는가
3. 행동 기록이 해석이 아니라 사실 중심인가

## 4. 심각도 기준도 미리 정하기

| 심각도 | 기준                     |
| --- | ---------------------- |
| 낮음  | 잠깐 망설였지만 스스로 해결        |
| 중간  | 잘못된 경로, 긴 지연, 반복 시도 발생 |
| 높음  | 과제 실패, 도움 요청, 관람 흐름 중단 |

## 5. 불일치 처리 방식 정하기

두 기록이 다르면 테스트 후 바로 비교해서 합의 기록을 만드세요.

예:

> 관찰자 A는 ‘동선 안내 혼란’, 관찰자 B는 ‘기능 발견 실패’로 기록했으나, 사용자가 다음 작품 위치를 이해하지 못한 상황이므로 최종 코드는 ‘동선 안내 혼란’으로 합의하였다.

보고서에는 이렇게 쓰면 됩니다.

> 두 명의 관찰자는 사전에 관찰 코드북과 심각도 기준을 공유하고, 파일럿 테스트를 통해 기록 방식의 차이를 조정하였다. 본 테스트 후에는 관찰 기록을 비교하여 코드 불일치 사례를 논의하고 합의된 최종 코드로 정리하였다. 이를 통해 관찰자 간 해석 차이를 줄이고 기록의 일관성을 높이고자 하였다.
",,
