턴,AI 답변,사용자 메세지,Target
1,,"집에 토마토소스, 양파, 마늘, 베이컨 정도만 있는데 이걸로 토마토 파스타 만들 수 있을까?",
2,"응, 충분히 만들 수 있어. **토마토소스 + 양파 + 마늘 + 베이컨**이면 기본 토마토 베이컨 파스타 가능해.

### 간단한 순서

1. 파스타면을 삶고, 면수는 반 컵 정도 남겨둬.
2. 팬에 베이컨을 먼저 볶아서 기름을 내.
3. 다진 마늘, 채 썬 양파를 넣고 양파가 투명해질 때까지 볶아.
4. 토마토소스를 넣고 3~5분 정도 끓여.
5. 삶은 면을 넣고 섞으면서 면수를 조금씩 넣어 농도를 맞춰.
6. 간을 보고 싱거우면 소금, 후추를 조금 추가.

### 더 맛있게 하려면

베이컨이 짭짤하니까 **소금은 마지막에** 넣는 게 좋아.
매운맛 괜찮으면 고춧가루나 페퍼론치노 조금 넣으면 더 맛있어.",,
3,,재료를 더 사지 않는다면 맛이 심심하지 않게 하려면 어떤 순서로 볶는 게 좋아?,
4,"재료를 더 안 산다면 **베이컨 기름 → 마늘 향 → 양파 단맛 → 소스 졸이기** 순서가 제일 좋아.

1. **베이컨 먼저 약불~중불에 볶기**
   기름이 충분히 나오고 가장자리가 살짝 바삭해질 때까지 볶아.

2. **마늘 넣고 짧게 볶기**
   베이컨 기름에 마늘 향을 입혀. 갈색으로 타기 전까지만.

3. **양파 넣고 오래 볶기**
   양파가 투명해지는 정도보다 조금 더, 살짝 갈색이 돌 때까지 볶으면 단맛이 올라와.

4. **토마토소스 넣고 바로 끝내지 말고 졸이기**
   3~5분 정도 끓여서 물맛을 날려. 너무 되직하면 나중에 면수로 조절.

5. **면 넣고 면수 조금씩 넣으며 섞기**
   면수가 소스와 기름을 이어줘서 맛이 덜 심심해져.

핵심은 **양파를 충분히 볶고, 소스를 조금 졸이는 것**이야. 베이컨이 있으니 소금은 마지막에만 확인해.",,
5,,"간은 소금만으로 하면 될까, 아니면 소스 자체를 졸이는 게 더 중요해?",
6,"**소금보다 소스를 졸이는 게 더 중요해.**

소금은 짠맛만 올려주고, 심심한 “물맛”이나 밍밍함은 잘 못 잡아.
토마토소스를 팬에서 **3~7분 정도 졸여서** 수분을 날리면 산미와 단맛, 베이컨 기름 맛이 더 잘 붙어.

순서는 이렇게 해봐:

1. 베이컨·마늘·양파를 충분히 볶기
2. 토마토소스 넣고 중약불로 졸이기
3. 면 넣고 면수 조금씩 넣어 농도 맞추기
4. 마지막에 맛보고 소금 아주 조금

즉, **졸이기로 맛을 진하게 만들고, 소금은 마지막 보정용**으로 쓰는 게 좋아.
",,
7,,그럼 있는 재료 기준으로 실패 확률 낮은 순서만 간단히 정리해줘.,
8,"1. **면 삶기**
   소금 조금 넣고 삶고, 면수 반 컵 남기기.

2. **베이컨 먼저 볶기**
   중약불에서 기름이 나오고 살짝 바삭해질 때까지.

3. **마늘 넣기**
   타지 않게 30초~1분만 볶기.

4. **양파 넣고 충분히 볶기**
   투명해지고 살짝 갈색 돌 때까지.

5. **토마토소스 넣고 졸이기**
   3~7분 정도 끓여서 맛을 진하게 만들기.

6. **면 넣고 섞기**
   면수 조금씩 넣으면서 농도 맞추기.

7. **마지막 간 보기**
   싱거우면 소금 아주 조금. 베이컨 때문에 처음부터 많이 넣지 않기.
",,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
