턴,AI 답변,사용자 메세지,Target
1,,"사용성 평가 설문 문항을 만들었는데, 문항이 제대로 구성됐는지 점검하고 싶어. 어떤 기준으로 봐야 할까?",
2,"사용성 평가 설문 문항은 보통 아래 기준으로 점검하면 좋아.

| 점검 기준           | 확인할 질문                     | 나쁜 예                    | 좋은 방향                            |
| --------------- | -------------------------- | ----------------------- | -------------------------------- |
| **측정 목적과의 연결성** | 이 문항이 어떤 개념을 측정하는가?        | “앱이 좋았다”                | 사용성, 만족도, 효율성, 학습 용이성 등으로 분리     |
| **명확성**         | 참가자가 같은 의미로 이해할 수 있는가?     | “기능이 적절했다”              | “원하는 기능을 쉽게 찾을 수 있었다”            |
| **단일성**         | 한 문항에 하나만 묻는가?             | “화면이 보기 쉽고 사용하기 편했다”    | “화면 구성이 보기 쉬웠다” / “조작이 편리했다”로 분리 |
| **편향성 없음**      | 특정 답을 유도하지 않는가?            | “이 앱은 매우 편리했다고 생각한다”    | “이 앱을 사용하는 것이 편리했다”              |
| **응답 가능성**      | 참가자가 실제 경험을 바탕으로 답할 수 있는가? | “장기적으로 사용할 가치가 있다”      | 짧은 테스트라면 “앞으로 사용할 의향이 있다” 정도로 완화 |
| **척도 일관성**      | 모든 문항이 같은 방식으로 응답 가능한가?    | 어떤 문항은 만족도, 어떤 문항은 빈도   | 5점/7점 Likert 척도 기준 통일            |
| **중복성**         | 거의 같은 내용을 반복하지 않는가?        | “사용하기 쉬웠다” + “이용이 간단했다” | 핵심 개념별 대표 문항만 남김                 |
| **부정문 최소화**     | 응답자가 헷갈리지 않는가?             | “사용 중 불편하지 않았다”         | “사용 중 불편함을 느꼈다” 또는 긍정문으로 정리      |
| **분석 가능성**      | 결과를 해석하기 쉬운가?              | “전반적으로 괜찮았다”            | “전반적으로 이 시스템에 만족한다”              |

특히 사용성 평가라면 문항을 **효율성, 효과성, 학습 용이성, 오류/혼란, 만족도** 정도로 나눠 보는 게 좋다.

예를 들면:

| 범주     | 문항 예시                          |
| ------ | ------------------------------ |
| 학습 용이성 | “이 시스템의 사용 방법을 쉽게 익힐 수 있었다.”   |
| 효율성    | “목표 작업을 빠르게 완료할 수 있었다.”        |
| 정보 구조  | “필요한 정보를 쉽게 찾을 수 있었다.”         |
| 오류/혼란  | “사용 중 무엇을 해야 할지 헷갈리는 순간이 있었다.” |
| 만족도    | “전반적으로 이 시스템 사용 경험에 만족한다.”     |

보고서에서는 이렇게 쓰면 자연스럽다:

> 설문 문항은 사용성의 주요 구성 요소인 학습 용이성, 효율성, 정보 탐색의 명확성, 오류 및 혼란, 전반적 만족도를 반영하도록 구성하였다. 각 문항은 하나의 개념만 측정하도록 작성하고, 응답자의 해석 차이를 줄이기 위해 구체적이고 경험 기반의 표현을 사용하였다.
",,
3,,특히 문항 타당도를 보려면 어떤 점을 확인해야 해?,
4,"문항 타당도는 **“이 문항이 내가 측정하려는 개념을 제대로 묻고 있는가?”**를 보는 거야. 사용성 평가 설문이라면 아래를 확인하면 된다.

| 확인 기준            | 점검 질문                                                     |
| ---------------- | --------------------------------------------------------- |
| **개념 적합성**       | 이 문항이 사용성의 어떤 요소를 측정하는가? 예: 효율성, 학습 용이성, 만족도, 오류 경험       |
| **범주 일치성**       | 내가 정한 범주와 문항 내용이 맞는가? 예: 만족도 문항인데 실제로는 디자인 선호를 묻고 있지 않은가? |
| **내용 포괄성**       | 사용성 평가에 필요한 핵심 요소가 빠지지 않았는가?                              |
| **내용 중복성**       | 같은 개념을 거의 같은 방식으로 반복해서 묻고 있지 않은가?                         |
| **표현 명확성**       | 응답자가 문항을 같은 의미로 이해할 수 있는가?                                |
| **경험 기반 응답 가능성** | 참가자가 실제 테스트 경험만으로 답할 수 있는가?                               |
| **유도성 여부**       | 특정 답변을 하도록 유도하는 표현이 없는가?                                  |

예를 들어 **“이 앱은 전반적으로 좋았다”**는 타당도가 낮을 수 있어.
왜냐하면 “좋다”가 사용성인지, 디자인인지, 콘텐츠 품질인지 불명확하기 때문이야.

더 타당한 문항은 이렇게 바꿀 수 있어.

| 측정 개념  | 문항 예시                        |
| ------ | ---------------------------- |
| 학습 용이성 | 이 앱의 사용 방법을 쉽게 익힐 수 있었다.     |
| 효율성    | 원하는 작업을 빠르게 완료할 수 있었다.       |
| 정보 탐색  | 필요한 정보를 쉽게 찾을 수 있었다.         |
| 오류/혼란  | 사용 중 무엇을 해야 할지 헷갈리는 순간이 있었다. |
| 만족도    | 전반적으로 이 앱 사용 경험에 만족한다.       |

수업 프로젝트 수준에서는 문항 타당도를 이렇게 점검하면 충분해:

1. 먼저 측정하려는 개념을 정의한다.
   예: “사용성 = 사용자가 목표 작업을 쉽고 효율적으로 수행할 수 있는 정도”

2. 개념을 하위 요소로 나눈다.
   예: 학습 용이성, 효율성, 정보 구조, 오류 경험, 만족도

3. 각 문항이 어느 하위 요소에 해당하는지 표시한다.

4. 범주에 맞지 않거나 의미가 모호한 문항을 수정하거나 삭제한다.

보고서에는 이렇게 쓸 수 있어.

> 문항 타당도를 확보하기 위해 사용성을 학습 용이성, 효율성, 정보 탐색의 명확성, 오류 및 혼란, 전반적 만족도로 구분하였다. 이후 각 설문 문항이 해당 구성 요소 중 어떤 개념을 측정하는지 매핑하여, 측정 목적과 직접적으로 연결되지 않거나 의미가 모호한 문항은 수정하였다.",,
5,,"관찰 기록을 두 명이 나눠서 코딩한다면, 코딩 기준은 어떻게 맞춰야 할까?",
6,"두 명이 관찰 기록을 코딩한다면 핵심은 **같은 행동을 같은 코드로 판단하도록 기준을 문서화하고, 사전 연습으로 조율하는 것**이야.

| 맞춰야 할 기준      | 확인할 점                                    |
| ------------- | ---------------------------------------- |
| **코드 정의**     | 각 코드가 정확히 무엇을 의미하는지 정한다.                 |
| **포함 기준**     | 어떤 사례를 이 코드에 넣을지 정한다.                    |
| **제외 기준**     | 비슷하지만 이 코드로 보지 않을 사례를 정한다.               |
| **예시**        | 실제 관찰 기록에서 대표 사례를 붙인다.                   |
| **코딩 단위**     | 한 문장, 한 행동, 한 과업 단계 중 무엇을 기준으로 코딩할지 정한다. |
| **중복 코딩 여부**  | 하나의 행동에 여러 코드를 붙일 수 있는지 정한다.             |
| **애매한 사례 처리** | 판단이 갈릴 때 어떻게 기록하고 합의할지 정한다.              |

예를 들어 사용성 평가라면 이렇게 만들 수 있어.

| 코드     | 정의                                 | 포함 예시                     | 제외 예시                 |
| ------ | ---------------------------------- | ------------------------- | --------------------- |
| 탐색 어려움 | 사용자가 원하는 메뉴나 정보를 찾지 못해 헤매는 행동      | “어디 있지?”라고 말하며 여러 메뉴를 눌러봄 | 단순히 화면을 훑어보는 행동       |
| 오류 발생  | 잘못된 버튼 선택, 잘못된 입력 등으로 과업 진행이 막힌 상황 | 저장 대신 취소를 누름              | 사용자가 의도적으로 다른 기능을 탐색함 |
| 도움 요청  | 사용자가 진행 방법을 몰라 진행자에게 묻는 경우         | “다음에 뭘 해야 해요?”            | 의견을 말하기 위해 질문한 경우     |
| 긍정 반응  | 기능이나 화면에 대해 명확한 긍정 평가를 표현          | “이건 찾기 쉽네요”               | 무표정하게 과업을 완료함         |

절차는 이렇게 하면 좋아.

1. **초기 코드북 작성**
   연구자가 미리 코드명, 정의, 포함/제외 기준을 정리한다.

2. **같은 자료 일부를 함께 코딩**
   전체 자료의 10~20% 정도를 두 명이 독립적으로 코딩한다.

3. **불일치 사례 비교**
   어느 코드에서 판단이 갈렸는지 확인한다.

4. **코드 정의 수정**
   모호한 코드는 정의를 좁히거나 예시를 추가한다.

5. **본 코딩 진행**
   수정된 코드북을 기준으로 나머지 자료를 코딩한다.

6. **불일치 해결 방식 명시**
   토론 후 합의했는지, 제3자가 판단했는지 기록한다.

보고서에는 이렇게 쓸 수 있어.

> 관찰 기록의 해석 일관성을 높이기 위해 두 명의 코더가 동일한 코드북을 사용하였다. 코드북에는 각 코드의 정의, 포함 및 제외 기준, 대표 사례를 명시하였다. 본 코딩에 앞서 일부 자료를 독립적으로 코딩한 뒤 불일치 사례를 비교하고, 모호한 기준을 수정하였다. 이후 수정된 기준에 따라 전체 자료를 코딩하고, 의견이 갈린 사례는 논의를 통해 합의하였다.",,
7,,그럼 코딩 신뢰도를 높이기 위해 실제로 해야 할 절차는 뭐야?,
8,"코딩 신뢰도를 높이려면 **“같은 자료를 독립적으로 코딩 → 일치도 확인 → 기준 수정 → 본 코딩”** 순서로 진행하면 된다.

| 단계         | 실제로 할 일                             | 목적        |
| ---------- | ----------------------------------- | --------- |
| 1. 코드북 만들기 | 코드명, 정의, 포함/제외 기준, 예시 작성            | 판단 기준 통일  |
| 2. 코더 교육   | 두 명이 코드북을 함께 읽고 애매한 사례 논의           | 해석 차이 줄이기 |
| 3. 파일럿 코딩  | 전체 자료의 일부, 예: 10~20%, 를 각자 독립적으로 코딩 | 초기 불일치 확인 |
| 4. 일치도 확인  | 같은 구간에서 코드가 얼마나 일치했는지 비교            | 신뢰도 점검    |
| 5. 불일치 논의  | 왜 다르게 코딩했는지 사례별로 검토                 | 기준 보완     |
| 6. 코드북 수정  | 모호한 정의, 겹치는 코드, 예외 사례를 정리           | 이후 코딩 안정화 |
| 7. 본 코딩    | 수정된 코드북으로 전체 자료를 다시 독립 코딩           | 일관된 적용    |
| 8. 최종 합의   | 불일치 항목은 토론으로 최종 코드 결정               | 분석 자료 확정  |
| 9. 보고서 기록  | 절차, 코더 수, 파일럿 비율, 불일치 해결 방식 명시      | 연구 투명성 확보 |

가능하면 단순히 “논의해서 맞췄다”보다 **일치율**을 함께 제시하는 게 좋다.

예시:

| 방법            | 의미                   | 수업 프로젝트에서의 사용 |
| ------------- | -------------------- | ------------- |
| 단순 일치율        | 두 코더가 같은 코드를 붙인 비율   | 가장 쉬움         |
| Cohen’s kappa | 우연히 일치했을 가능성을 보정한 값  | 가능하면 사용       |
| 합의 후 최종 코드    | 불일치한 부분을 토론 후 하나로 정함 | 반드시 필요        |

보고서에는 이렇게 쓸 수 있다.

> 코딩 신뢰도를 확보하기 위해 두 명의 코더가 동일한 코드북을 바탕으로 관찰 기록의 일부를 독립적으로 코딩하였다. 이후 코딩 결과를 비교하여 불일치 사례를 검토하고, 코드 정의와 포함·제외 기준을 수정하였다. 수정된 코드북을 기준으로 전체 자료를 코딩하였으며, 최종적으로 의견이 다른 사례는 논의를 통해 합의하였다. 단순 일치율을 산출하여 코딩 결과의 일관성을 확인하였다.",,
9,,"참가자 모집은 편의표집으로 할 것 같은데, 설문 결과를 해석할 때 어떤 점을 조심해야 할까?",
10,"편의표집이면 설문 결과를 **전체 사용자 집단의 의견처럼 일반화하면 안 된다**는 점이 가장 중요해.

| 조심할 점        | 해석 시 주의                                         |
| ------------ | ----------------------------------------------- |
| **대표성 부족**   | 참가자가 실제 사용자 전체를 대표한다고 보기 어렵다.                   |
| **표본 편향**    | 같은 전공, 같은 연령대, 지인 위주라면 비슷한 경험과 관점을 공유할 가능성이 크다. |
| **긍정 편향**    | 지인 참가자는 비판을 덜 하거나 좋게 응답할 수 있다.                  |
| **사용 경험 차이** | 관련 앱이나 서비스에 익숙한 사람이 많으면 사용성이 실제보다 높게 평가될 수 있다.  |
| **표본 수 제한**  | 평균 점수 차이가 있어도 안정적인 경향이라고 단정하기 어렵다.              |
| **맥락 의존성**   | 테스트 환경, 과업, 참가자 특성에 따라 결과가 달라질 수 있다.            |

그래서 결과는 이렇게 표현하는 게 안전해.

> 본 설문 결과는 편의표집으로 모집된 제한된 참가자 집단의 응답에 기반하므로, 전체 사용자 집단의 일반적 평가로 해석하기에는 한계가 있다. 따라서 결과는 제품의 사용성에 대한 확정적 결론이라기보다, 특정 테스트 맥락에서 나타난 주요 경향과 개선 단서를 파악하는 자료로 해석하였다.

특히 피해야 할 표현은:

| 피해야 할 표현                 | 더 적절한 표현                         |
| ------------------------ | -------------------------------- |
| “사용자들은 이 기능을 선호했다”       | “참가자들은 이 기능을 긍정적으로 평가하는 경향을 보였다” |
| “이 앱은 사용성이 높다”           | “본 표본에서는 사용성이 비교적 긍정적으로 평가되었다”   |
| “대부분의 사용자가 불편함을 느끼지 않았다” | “본 테스트 참가자 중 다수는 큰 불편을 보고하지 않았다” |

핵심은 **단정하지 말고, ‘참가자 집단 내 경향’과 ‘개선 인사이트’ 중심으로 해석하는 것**이야.
",,
